job_name,salary,job_exp,skills,job_degree,city,welfare,company
UI设计师,3-6K,1年以内,"['App设计', '移动交互', '网页交互']",本科,南京,"['年终奖', '零食下午茶', '全勤奖', '五险一金', '餐补', '交通补助', '通讯补贴', '节日福利', '股票期权']",掘客宝
UI设计师,8-13K·13薪,3-5年,"['交互体验设计', '动效设计', '视觉设计', '移动端', 'PC端']",本科,杭州,"['股票期权', '五险一金', '带薪年假', '节日福利', '员工旅游', '零食下午茶']",北洲互娱
UI设计师,4-9K,经验不限,"['交互体验设计', '网页设计', 'UI设计', '视觉设计', '平面设计']",学历不限,日照,"['五险一金', '通讯补贴', '年终奖', '加班补助', '员工旅游', '全勤奖', '节日福利']",一同
UI设计师,6-10K·13薪,1-3年,"['交互体验设计', '视觉设计', '移动端', 'SKetch']",本科,南京,null,南京大希地
UI设计师,5-10K,3-5年,"['UI设计', '移动端', '小程序']",大专,长沙,['定期体检'],一零二健康科技
UI设计师,4-6K,1-3年,"['PC端', '移动端', 'UI设计', '平面设计', 'PhotoShop']",学历不限,淄博,"['年终奖', '带薪年假']",山东新能
UI设计师,4-6K,在校/应届,"['交互体验设计', '网页设计', '视觉设计', '设计师']",本科,长沙,"['五险一金', '带薪年假']",湛盈
UI设计师,10-15K·13薪,1-3年,"['UI设计', '交互体验设计', '视觉设计']",本科,珠海,"['团建聚餐', '全勤奖', '五险一金', '节假日加班费', '加班补助', '通讯补贴', '绩效奖金', '意外险']",芯泰智能
UI设计师,10-15K·13薪,1-3年,"['UI设计', '交互体验设计', '视觉设计', '手绘', '平面设计']",大专,北京,"['五险一金', '员工旅游', '带薪年假', '年终奖']",励步
UI设计师,10-15K,1-3年,['UI设计'],本科,杭州,"['通讯补贴', '带薪年假', '定期体检', '员工旅游', '五险一金', '加班补助', '零食下午茶']",易诚互动
UI设计师,6-8K,1-3年,['UI设计'],本科,长春,null,启明传媒
ui设计师,150-300元/天,5天/周,"['交互设计', '视觉设计', '客户端', '平面设计', '动效设计']",3个月,北京,"['五险一金', '加班补助', '零食下午茶', '定期体检', '餐补', '带薪年假', '年终奖', '交通补助', '住房补贴', '员工旅游']",酷我音乐
UI设计师,4-7K,1-3年,"['UI设计', '视觉设计']",大专,惠州,"['带薪年假', '年终奖', '入职购买五险', '零食下午茶']",惠州登临科技
UI设计师,5-9K,经验不限,"['3D Max', 'AI软件', 'PS']",本科,西安,null,元斯特
UI设计师,6-11K,经验不限,"['PhotoShop', 'AI软件', 'AE', 'UI设计', 'Web端']",学历不限,合肥,null,智星交通
UI设计师,6-8K,经验不限,"['UI', '手绘', '插画']",学历不限,大连,null,奇意创想
UI设计师,5-8K,1-3年,"['视觉设计', '移动端', 'Web端', 'PhotoShop', 'AE']",大专,济宁,"['员工旅游', '节日福利', '交通补助', '定期体检', '加班补助', '通讯补贴']",山东用信
UI设计师,4-5K·13薪,1-3年,"['视觉设计', 'UI设计', '交互体验设计', '网页设计', '移动端']",大专,长沙,"['员工旅游', '加班补助', '节日福利', '年终奖', '全勤奖']",盛年信息
UI设计师,3-5K,1-3年,"['交互设计', '原型设计', '图标设计', '切图和标注', 'AI']",大专,无锡,null,明思睿动
UI设计师,3-6K,1-3年,"['UI', '美工', 'App设计']",本科,重庆,null,随梦科技
UI设计师,7-8K·13薪,1-3年,"['移动端', '小程序', '视觉设计', 'UI设计', '交互体验设计']",本科,合肥,"['带薪年假', '加班补助', '定期体检', '五险一金', '股票期权']",吉雅其
UI设计师,4-7K,经验不限,"['UI设计', '小程序', '美工', '设计师', '美术设计师']",大专,宜昌,null,中科智跃
UI设计师,2-7K,1-3年,"['交互设计', '原型设计', '视觉设计', '客户端', '游戏端']",大专,长春,"['员工旅游', '加班补助', '住房补贴', '零食下午茶']",吉林东盛网络科技
UI设计师,15-30K·15薪,1-3年,"['视觉设计', 'UI设计', '交互体验设计', '网页设计']",本科,北京,"['住房补贴', '股票期权', '员工旅游', '带薪年假', '交通补助', '零食下午茶']",知觉之门
UI设计师,20-30K,3-5年,"['UE4', 'SketchUp', '视觉设计', 'C4D', '动效设计']",高中,深圳,null,天之眼
UI 设计师,3-5K,在校/应届,['UI设计'],学历不限,无锡,null,无锡栖泽科技
UI设计师,8-9K,经验不限,"['交互设计', '客户端', '平面设计']",本科,郑州,null,海洋驾校
UI设计师,3-4K,1-3年,"['小程序', '原画设计', 'UI设计']",高中,南宁,null,至终网络科技有限公司
UI设计师,4-6K,1-3年,"['UI', '手绘']",大专,石家庄,null,天火
UI设计师,6-8K·13薪,3-5年,"['交互体验设计', 'UI设计', 'PC端', '小程序', '网页设计']",大专,天津,null,网博互动
UI设计师,6-11K·13薪,经验不限,"['界面设计', 'PS', '交互设计', '切图和标注', 'Dreamweaver']",本科,合肥,"['五险一金', '年终奖', '带薪年假', '员工旅游', '节日福利']",易容信息
ui设计师,12-18K,3-5年,"['交互设计', '视觉设计', '原型设计', '客户端', '移动端']",大专,珠海,"['包住', '年终奖', '餐补', '节日福利', '通讯补贴', '团建聚餐', '住房补贴', '高温补贴', '免费工装', '零食下午茶', '有无线网', '五险一金', '法定节假日三薪', '绩效奖金', '带薪年假', '交通补助', '补充医疗保险', '宿舍有空调']",珠海光通智装
